1:[1S, 8C, 13D, 12H]
2:[3H, 9H, 3C, 6S]
3:[1H, 3S, 12D, 2H]
4:[2D, 6C, 5H, 1C]
5:[4H, 13C, 7D, 2S]
6:[5D, 10D, 12C, 11H]
7:[8S, 13S, 9C, 4C]
8:[7C, 8H, 8D, 10H]
9:[5S, 13H, 10C, 7H]
10:[9S, 7S, 3D, 6D]
11:[5C, 2C, 4D, 10S]
12:[6H, 11D, 11C, 11S]
13:[4S, 12S, 9D, 1D]
Winner: p1,6
1:[3H, 3D, 4C, 7C]
2:[10C, 4S, 13H, 11C]
3:[8D, 4H, 8S, 6H]
4:[10H, 10D, 12D, 3S]
5:[8H, 6D, 12S, 5H]
6:[7H, 6H, 2D, 12C]
7:[12H, 13S, 1S, 6S]
8:[2C, 1C, 5D, 4D]
9:[2S, 11S, 10S, 7S]
10:[8S, 5S, 9H, 8C]
11:[13C, 1D, 2H, 6C]
12:[9C, 1H, 4H, 9S]
13:[9D, 13D, 7D, 9S]
14:[1H, 11D, 9C, 11H]
15:[3C, 4H, 5C, 8D]
Winner: p2,5
1:[5H, 7H, 12S, 7C]
2:[12D, 10S, 11D, 9H]
3:[7D, 11H, 11S, 6D]
4:[8H, 11H, 9D, 6C]
5:[2H, 2D, 12C, 8C]
6:[4D, 10D, 2C, 9C]
7:[8D, 5D, 13S, 9S]
8:[2S, 5C, 1C, 5S]
9:[10C, 1S, 3D, 7S]
10:[13C, 13D, 11C, 6S]
11:[11S, 2S, 3S, 4S]
12:[6D, 1H, 11C, 12H]
13:[6S, 1C, 7D, 5S]
14:[3H, 3C, 4C, 1D]
15:[8S, 13D, 5C, 13H]
16:[10H, 4H, 6H, 13C]
Winner: p2,5
1:[4D, 2D, 9S, 10S]
2:[11D, 3H, 8C, 5C]
3:[11H, 2C, 3C, 13H]
4:[5S, 1D, 12C, 8S]
5:[6D, 11S, 7C, 9H]
6:[12H, 6C, 10H, 10D]
7:[7H, 4H, 13S, 11C]
8:[12D, 8D, 3D, 8H]
9:[13C, 10C, 1S, 5H]
10:[1C, 1H, 9C, 6H]
11:[4C, 7D, 2S, 4S]
12:[6S, 2H, 5D, 12S]
13:[13D, 9D, 7S, 3S]
Winner: p0,5
1:[7C, 1H, 3C, 9D]
2:[8D, 4S, 2C, 13S]
3:[6S, 10H, 12D, 2D]
4:[11C, 9S, 11H, 4C]
5:[7H, 6D, 13C, 7S]
6:[12C, 5C, 11H, 1S]
7:[11S, 8S, 11D, 9C]
8:[3D, 4D, 9C, 11C]
9:[3S, 12S, 2S, 8C]
10:[8S, 9H, 11D, 7D]
11:[4C, 10D, 10C, 9S]
12:[6H, 4C, 3H, 10D]
13:[11S, 1D, 2H, 12H]
14:[1C, 13H, 8H, 10S]
15:[10C, 5D, 9S, 5H]
16:[5S, 4H, 13D, 6C]
Winner: p3,5
1:[8D, 3D, 11H, 9D]
2:[11C, 3C, 2H, 13S]
3:[9H, 12S, 3H, 10S]
4:[4H, 11D, 9C, 10H]
5:[1H, 8S, 7H, 6H]
6:[2C, 1S, 5D, 13D]
7:[1D, 8H, 12C, 3S]
8:[7S, 6S, 10D, 4C]
9:[5C, 9S, 5H, 6D]
10:[7D, 13H, 5S, 2D]
11:[2S, 7C, 12D, 12H]
12:[2S, 13C, 7C, 6C]
13:[4D, 4S, 1C, 12D]
14:[11S, 12H, 10C, 8C]
Winner: p1,7
1:[10S, 13C, 10C, 4S]
2:[2D, 9H, 12H, 10D]
3:[7D, 7C, 10H, 13D]
4:[4D, 5D, 13S, 12S]
5:[13H, 7H, 6H, 4H]
6:[8S, 3C, 2S, 2C]
7:[3H, 8H, 1S, 11D]
8:[2H, 3D, 9D, 5S]
9:[8D, 1H, 6S, 12D]
10:[9C, 5H, 12C, 6D]
11:[1D, 9S, 1C, 11S]
12:[4C, 7S, 8C, 5C]
13:[3S, 11H, 6C, 11C]
Winner: p2,5
1:[8C, 6H, 7H, 13H]
2:[2H, 3C, 9D, 11H]
3:[8S, 1H, 1D, 11S]
4:[3D, 4C, 7C, 9H]
5:[5C, 4S, 2C, 12C]
6:[1S, 10H, 6D, 5S]
7:[2D, 7D, 7S, 10C]
8:[3S, 2S, 4D, 3H]
9:[6C, 13C, 9S, 11C]
10:[11D, 5H, 10D, 12D]
11:[8H, 5D, 8D, 6S]
12:[8H, 9C, 6S, 12S]
